,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:GSBRNA2T00043746001_BnaCnng45420D,13.2613173,6.197907806,2.880488244,2.151686548,0.03142205,0.73080916
gene:GSBRNA2T00114880001_BnaC02g07090D,3.411123175,5.212432099,1.624943117,3.20776281,0.001337718,NA
gene:GSBRNA2T00064059001_BnaC08g46100D,2.525464505,4.78239962,1.890903168,2.529161568,0.011433538,NA
gene:GSBRNA2T00147884001_BnaC06g38060D,2.306579491,4.655321711,1.943138424,2.395774616,0.016585285,NA
gene:GSBRNA2T00081591001_BnaA06g33740D,2.27575607,4.623313193,1.8319059,2.523772205,0.011610314,NA
gene:GSBRNA2T00050411001_BnaA04g16960D,2.137584662,4.54602892,1.992050461,2.282085222,0.022484309,NA
gene:GSBRNA2T00146557001_BnaA07g33140D,2.067832968,4.502112917,2.272319834,1.981284875,0.047559336,NA
gene:GSBRNA2T00057315001_BnaA09g41390D,1.99910719,4.446626908,1.808246109,2.459082801,0.013929249,NA
gene:GSBRNA2T00031316001_BnaC07g33970D,1.970528701,4.429486075,1.800415659,2.460257471,0.013883737,NA
gene:ENSRNA049477780_SSU_rRNA_eukarya,1.96919672,4.428568159,1.825122802,2.426449418,0.015247376,NA
gene:GSBRNA2T00062320001_BnaC06g06650D,1.922695591,4.399760643,1.864895867,2.359252718,0.018311781,NA
gene:GSBRNA2T00116234001_BnaC03g67930D,1.922695591,4.399760643,1.864895867,2.359252718,0.018311781,NA
gene:GSBRNA2T00078445001_BnaC09g38760D,1.898113045,4.382084979,2.023363981,2.165742308,0.030330884,NA
gene:GSBRNA2T00105097001_BnaC04g41440D,1.741712933,4.258117644,2.059453613,2.067595802,0.038678047,NA
gene:GSBRNA2T00055230001_BnaA09g46110D,1.705561587,4.211957344,1.925989645,2.186905498,0.028749423,NA
gene:GSBRNA2T00037405001_BnaC03g64710D,1.67964706,4.193171625,1.877121911,2.233830206,0.025494247,NA
gene:GSBRNA2T00060005001_BnaC04g37380D,1.63181395,4.159096419,1.896779853,2.192714359,0.028327966,NA
gene:GSBRNA2T00007964001_BnaAnng35360D,1.607231404,4.140769759,1.944088175,2.129928988,0.033177477,NA
gene:GSBRNA2T00035029001_BnaA09g26740D,5.761518146,4.040103347,1.621381577,2.491765914,0.012710978,NA
gene:GSBRNA2T00034920001_BnaA06g11680D,1.499996383,4.032167817,1.99210491,2.024074033,0.042962535,NA
gene:GSBRNA2T00016668001_BnaC08g49690D,3.012975502,4.006983739,1.754057386,2.284408579,0.02234753,NA
gene:GSBRNA2T00112417001_BnaA07g11940D,1.446835349,3.988843376,2.026193239,1.96863917,0.048994541,NA
gene:GSBRNA2T00082557001_BnaCnng61510D,2.930323027,3.960269065,1.610493316,2.459040982,0.013930871,NA
gene:GSBRNA2T00019000001_BnaC03g61660D,2.722093861,3.851525383,1.683152317,2.28828095,0.022121165,NA
gene:GSBRNA2T00119383001_BnaC05g18520D,2.727115721,3.837454864,1.696237573,2.26233337,0.023676814,NA
gene:GSBRNA2T00100254001_BnaC07g46980D,4.942412953,3.813693619,1.443234182,2.64246348,0.008230534,NA
gene:GSBRNA2T00067501001_BnaC06g27220D,2.530276669,3.721764178,1.656532976,2.24671904,0.024657989,NA
gene:GSBRNA2T00105403001_BnaA06g07860D,2.457126747,3.687741252,1.705856068,2.161812665,0.030632619,NA
gene:GSBRNA2T00151955001_BnaC02g04380D,20.86810326,3.68205598,1.812089467,2.031939398,0.042159791,0.814092517
gene:GSBRNA2T00157132001_BnaC07g38300D,2.435017324,3.674671548,1.6908872,2.173220986,0.029763689,NA
gene:GSBRNA2T00108458001_BnaC02g35340D,2.300535796,3.582908697,1.699263038,2.108507404,0.034987123,NA
gene:GSBRNA2T00072398001_BnaA09g18570D,2.275546373,3.568859834,1.703556215,2.094946913,0.036175712,NA
gene:GSBRNA2T00136111001_BnaA10g23640D,4.123842016,3.534095196,1.582670084,2.232995513,0.02554924,NA
gene:GSBRNA2T00041323001_BnaCnng05780D,7.662663153,3.045580366,1.05428917,2.888752395,0.003867735,NA
gene:GSBRNA2T00028513001_BnaCnng36050D,6.052601048,3.022952072,1.337384892,2.260345613,0.023799809,NA
gene:GSBRNA2T00067869001_BnaAnng05390D,4.492179667,3.002391007,1.176680915,2.55157619,0.010723687,NA
gene:GSBRNA2T00049803001_BnaC06g30810D,4.454912379,2.977066748,1.297846819,2.293850634,0.02179908,NA
gene:GSBRNA2T00023557001_BnaCnng75900D,14.28047917,2.932799042,0.746268378,3.929952184,8.50E-05,0.011807976
gene:GSBRNA2T00079794001_BnaC02g41390D,2.876874422,2.925710873,1.481911825,1.974281347,0.048349761,NA
gene:GSBRNA2T00133424001_BnaC07g30820D,2.803724501,2.901772173,1.47880515,1.962241053,0.049734426,NA
gene:GSBRNA2T00148924001_BnaA03g08030D,4.078676949,2.845557544,1.300252899,2.18846468,0.028635771,NA
gene:GSBRNA2T00048629001_BnaA05g11460D,3.837593852,2.741993656,1.265798608,2.166216363,0.030294657,NA
gene:GSBRNA2T00019002001_BnaC03g61670D,6.213469907,2.707176224,0.993409395,2.725136523,0.00642749,NA
gene:GSBRNA2T00157016001_BnaC07g37400D,11.68537341,2.584917098,0.741610349,3.485546151,0.000491133,NA
gene:GSBRNA2T00149583001_BnaA01g15380D,4.571843258,2.563782414,1.277158766,2.00741089,0.04470593,NA
gene:GSBRNA2T00149041001_BnaA04g02430D,6.64254145,2.50249958,0.905118218,2.764831741,0.005695216,NA
gene:GSBRNA2T00079973001_BnaC05g30630D,9.731697737,2.463418671,0.818986708,3.007886024,0.002630718,NA
gene:GSBRNA2T00074422001_BnaA01g25850D,10.82340792,2.455359021,0.778292439,3.154802613,0.001606067,NA
gene:GSBRNA2T00027986001_BnaA02g37030D,4.296156835,2.444745004,1.163419146,2.101344998,0.035610692,NA
gene:GSBRNA2T00124463001_BnaA07g25440D,12.76710832,2.43684177,0.7602307,3.205397744,0.00134876,0.101293629
gene:GSBRNA2T00138692001_BnaA03g23420D,4.200570103,2.421366712,1.233172742,1.963525977,0.049585089,NA
gene:GSBRNA2T00123378001_BnaA04g22550D,4.11177595,2.377591558,1.130039502,2.103989775,0.035379339,NA
gene:GSBRNA2T00074739001_BnaC02g22760D,5.167373046,2.374823179,1.092512581,2.173726161,0.029725707,NA
gene:GSBRNA2T00043629001_BnaA01g18950D,5.117146301,2.372454012,1.021745622,2.321961513,0.020235008,NA
gene:GSBRNA2T00031464001_BnaC07g32960D,5.093920935,2.35812136,1.151289934,2.048242837,0.040536211,NA
gene:GSBRNA2T00150390001_BnaA10g01740D,5.002844498,2.328348706,1.022237461,2.277698474,0.022744549,NA
gene:GSBRNA2T00107701001_BnaC01g11690D,21.69991899,2.30630761,0.500488444,4.608113606,4.06E-06,0.001037477
gene:GSBRNA2T00125489001_BnaA06g15390D,26.71557756,2.258267992,0.60171268,3.753066979,0.000174684,0.021425576
gene:GSBRNA2T00006295001_BnaC01g20320D,18.19466749,2.252020515,0.657871742,3.423190828,0.000618906,0.057656347
gene:GSBRNA2T00117067001_BnaA05g07840D,4.782754881,2.24997382,1.060679465,2.121257075,0.033900175,NA
gene:GSBRNA2T00085422001_BnaC05g01060D,5.518463646,2.183842795,1.085580088,2.011682805,0.044253384,NA
gene:GSBRNA2T00019756001_BnaC01g41550D,10.82986699,2.15546,0.695943757,3.097175566,0.001953741,NA
gene:GSBRNA2T00074358001_BnaC05g40510D,6.265208571,2.136549898,0.893313128,2.39171443,0.016769885,NA
gene:GSBRNA2T00092363001_BnaA02g16770D,7.845700793,2.091703682,0.835416234,2.503786253,0.012287224,NA
gene:GSBRNA2T00058123001_BnaA01g08170D,18.00746053,2.064387666,0.71140482,2.901846613,0.003709701,0.199925147
gene:GSBRNA2T00092159001_BnaCnng65240D,15.22316023,2.055324081,0.920009378,2.234025143,0.025481419,0.664296099
gene:GSBRNA2T00002189001_BnaC04g03640D,44.81170291,2.033897359,0.393534916,5.168276758,2.36E-07,9.99E-05
gene:GSBRNA2T00111327001_BnaA04g06060D,13.30045245,1.994542796,0.70447207,2.831258868,0.004636518,0.231572335
gene:GSBRNA2T00018923001_BnaC03g61370D,7.386443363,1.972833638,0.905071142,2.17975532,0.029275603,NA
gene:GSBRNA2T00111035001_BnaC05g41870D,27.7664708,1.969617102,0.582466413,3.381511894,0.000720881,0.063231393
gene:GSBRNA2T00157107001_BnaC07g38110D,5.698297091,1.958877037,0.957660259,2.045482225,0.04080734,NA
gene:GSBRNA2T00052776001_BnaA02g07870D,8.100106167,1.956727282,0.772756001,2.532141167,0.011336834,NA
gene:GSBRNA2T00140254001_BnaC03g05240D,37.15571895,1.910092913,0.56597518,3.374870458,0.000738504,0.064234815
gene:GSBRNA2T00085694001_BnaC04g42350D,11.86940208,1.905806324,0.667911193,2.85338282,0.004325648,NA
gene:GSBRNA2T00156352001_BnaA06g03840D,6.951528135,1.86976125,0.871455963,2.145560223,0.031908082,NA
gene:GSBRNA2T00120153001_BnaC05g44820D,9.9577361,1.853747499,0.7165761,2.586951337,0.009682927,NA
gene:GSBRNA2T00106839001_BnaA03g45460D,48.58303606,1.839225146,0.436250505,4.215983991,2.49E-05,0.00460836
gene:GSBRNA2T00133665001_BnaC07g28910D,7.59078374,1.825685748,0.875517282,2.085265231,0.037045232,NA
gene:GSBRNA2T00030678001_BnaAnng41480D,12.75221037,1.825005264,0.727566249,2.508369879,0.012128963,0.423140306
gene:GSBRNA2T00086436001_BnaA02g32900D,7.460235603,1.808995292,0.80181354,2.256129639,0.024062513,NA
gene:GSBRNA2T00090373001_BnaC08g41340D,9.725479967,1.801256321,0.730900382,2.464434779,0.013722954,NA
gene:GSBRNA2T00132951001_BnaA05g00920D,10.25456278,1.788768614,0.774402496,2.30986938,0.020895387,NA
gene:GSBRNA2T00068104001_BnaCnng09270D,10.18842148,1.770162055,0.809885655,2.1856938,0.028838015,NA
gene:GSBRNA2T00090129001_BnaC02g34260D,25.73359,1.768247121,0.505467622,3.498240134,0.000468339,0.04588648
gene:GSBRNA2T00138959001_BnaA03g21140D,12.39130832,1.761971979,0.624195851,2.82278707,0.004760818,0.234122376
gene:GSBRNA2T00137514001_BnaA03g34290D,8.699233886,1.752017638,0.755023019,2.320482414,0.020314795,NA
gene:GSBRNA2T00105529001_BnaA06g08900D,9.404853496,1.743499645,0.753171843,2.314876294,0.020619703,NA
gene:GSBRNA2T00099073001_BnaA07g19130D,9.249074683,1.723384339,0.771985078,2.232406283,0.025588123,NA
gene:GSBRNA2T00155210001_BnaC04g46430D,21.34919782,1.719843729,0.564463788,3.04686282,0.002312432,0.146915566
gene:GSBRNA2T00070338001_BnaC04g28910D,34.0956447,1.711380119,0.40777971,4.196825095,2.71E-05,0.004874578
gene:GSBRNA2T00072664001_BnaA01g12980D,70.9357878,1.710692888,0.290196842,5.894939718,3.75E-09,4.79E-06
gene:GSBRNA2T00085919001_BnaA07g10590D,20.41551274,1.700418666,0.51222015,3.319702802,0.000901133,0.07518362
gene:GSBRNA2T00008869001_BnaC05g08500D,9.739251257,1.677290945,0.700513559,2.394373277,0.016648795,NA
gene:GSBRNA2T00102128001_BnaA07g26470D,6.936733089,1.677198127,0.854739784,1.962232435,0.049735429,NA
gene:GSBRNA2T00067933001_BnaC03g60690D,6.921229283,1.662682361,0.842237751,1.974124717,0.048367564,NA
gene:GSBRNA2T00147907001_BnaC06g38250D,20.45484137,1.651757645,0.781857953,2.112605799,0.034634522,0.764252742
gene:GSBRNA2T00024123001_BnaC04g43480D,7.576100045,1.648672013,0.836869821,1.970045964,0.048833103,NA
gene:ENSRNA049454449_LSU_rRNA_eukarya,12.31941659,1.629316247,0.795245622,2.048821398,0.040479583,0.805873014
gene:GSBRNA2T00022034001_BnaC04g49530D,8.12610899,1.629042533,0.818639412,1.989939049,0.04659765,NA
